Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
TU068,TH-30,X13,3.0000000000,2.2820000000,1.2850000000,0.1000000000,3.0000000000,0.1680000000,1.8230000000,2.0910000000,0.4910000000,2.0710000000,1.9710000000,1.6300000000,,1.8500000000,0.0522000000,1.9590000000,0.0370000000,2.0060000000,0.0333000000,28.1520000000,0.0031000000,REJECTED
FP109,TH-30,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
FP118,TH-30,X13,3.0000000000,3.0000000000,2.0320000000,0.4020000000,3.0000000000,0.7120000000,1.1930000000,0.8320000000,0.7510000000,0.7890000000,0.7470000000,1.5900000000,,4.3770000000,0.0000000000,4.9180000000,0.0000000000,2.3300000000,0.0124000000,48.2370000000,0.0000000000,REJECTED
FP301,TH-30,X13,2.9780000000,0.7330000000,0.6210000000,0.4020000000,0.8180000000,0.1050000000,2.4710000000,1.7270000000,1.4120000000,1.0550000000,0.9460000000,1.3900000000,,1.4720000000,0.1499000000,2.1800000000,0.0187000000,7.9170000000,0.0000000000,26.3190000000,0.0058000000,REJECTED
FP306,TH-30,X13,2.4900000000,1.2420000000,0.2280000000,0.7790000000,3.0000000000,0.5180000000,2.9910000000,2.8150000000,0.7910000000,3.0000000000,2.7830000000,1.9500000000,,0.6490000000,0.7835000000,0.7870000000,0.6526000000,4.6260000000,0.0000000000,11.7270000000,0.3845000000,REJECTED
FP317,TH-30,X13,2.9670000000,1.9350000000,1.4860000000,0.5020000000,3.0000000000,0.0120000000,0.9910000000,1.4080000000,0.9140000000,1.6540000000,1.5460000000,1.4400000000,,4.2800000000,0.0000000000,4.3170000000,0.0000000000,0.4930000000,0.9044000000,39.0140000000,0.0001000000,REJECTED
FP321,TH-30,X13,2.9070000000,2.2160000000,0.4310000000,1.0050000000,3.0000000000,0.3070000000,1.6860000000,1.6810000000,1.2660000000,1.0550000000,0.9810000000,1.5300000000,,1.2250000000,0.2769000000,2.0920000000,0.0246000000,1.6300000000,0.0984000000,30.6460000000,0.0013000000,REJECTED
FP331,TH-30,X13,3.0000000000,1.6920000000,1.1320000000,0.4020000000,3.0000000000,0.0110000000,2.1860000000,1.6300000000,1.2840000000,1.4200000000,1.3540000000,1.6700000000,,1.6540000000,0.0914000000,2.4620000000,0.0076000000,5.5080000000,0.0000000000,25.9890000000,0.0065000000,REJECTED
FU064,TH-30,X13,2.0860000000,0.2180000000,0.3200000000,0.8540000000,0.7050000000,0.1860000000,2.3270000000,2.3970000000,0.7360000000,3.0000000000,2.9040000000,1.4400000000,,0.9100000000,0.5332000000,1.2760000000,0.2444000000,2.2730000000,0.0147000000,17.8430000000,0.0853000000,REJECTED
FU078,TH-30,X13,2.0930000000,0.2320000000,0.3590000000,0.1000000000,0.6870000000,0.0880000000,2.3660000000,2.3520000000,0.8200000000,2.6820000000,2.4890000000,1.3400000000,,0.9170000000,0.5264000000,1.2820000000,0.2408000000,2.4530000000,0.0084000000,17.3310000000,0.0985000000,REJECTED
